SMILES,Tg_pred,MAC_pred,Score
*C(=O)C(*)=O,331.47328192725445,0.05687206816361614,18.851571084184364
*C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)c(C(=O)O)c1C(=O)O,275.6375987192219,0.0568568908232494,15.671896857161428
*C(=O)Nc1ccc(Oc2ccc(NC(=O)N3C(=O)c4ccc(*)cc4C3=O)cc2)c(C(=O)O)c1,261.7695954172733,0.056882585526434694,14.890131399543256
*C(=O)Nc1ccc(Oc2ccc(NC(=O)CN3C(=O)c4ccc(*)cc4C3=O)cc2)c(C(=O)O)c1,259.4639948676427,0.056887840325240496,14.760346310179479
*C(=O)NNC(=O)c1ccc(*)o1,258.0065588321037,0.05689576848009458,14.679481437657273
*C(=O)NNC(=O)c1ccc(*)o1,258.0065588321037,0.05689576848009458,14.679481437657273
*C(=O)NNC(=O)c1ccc(*)o1,258.0065588321037,0.05689576848009458,14.679481437657273
*C(=O)NNC(=O)c1ccc(*)o1,258.0065588321037,0.05689576848009458,14.679481437657273
*C(=O)NNC(=O)c1ccc(*)o1,258.0065588321037,0.05689576848009458,14.679481437657273
*C(=O)NNC(=O)c1ccc(*)o1,258.0065588321037,0.05689576848009458,14.679481437657273
*C(=O)Nc1ccc(*)n1N,252.9545989490555,0.05689777387789369,14.392553572376645
*C(=O)Nc1ccc(*)c(O)c1,247.8393796671513,0.056900329521365665,14.102142371431762
*C(=O)Nc1ccc(Oc2ccc(NC(=O)NNC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,245.0744719006658,0.056887381264820305,13.941644921287667
*C(=O)NC(=O)Nc1ccc(*)o1,243.05554897735394,0.056893642580814634,13.82831553080126
*C(=O)C1C(=O)N(C(=O)c2ccc(C(=O)NNC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)C1=O,242.9646824416455,0.05682225419226809,13.805800945442877
*C(=O)Nc1ccc(Oc2ccc(NC(=O)NNC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C(=O)O)cc1,240.76673525896643,0.056895674795541334,13.69858587087835
*C(=O)Nc1ccc(Oc2ccc(NC(=O)CN3C(=O)c4ccc(*)cc4C3=O)cc2C(=O)O)c(C(=O)O)c1,239.78596578238512,0.05688565822280689,13.640382496122427
*C(=O)Nc1ccc(Oc2ccc(NC(=O)N3C(=O)c4ccc(*)cc4C3=O)cc2C(=O)O)c([N+](=O)[O-])c1,239.94073818749763,0.056811132694953435,13.631305116095009
*C(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3ccc(*)o3)o2)o1,235.38467685082395,0.056847232903346236,13.380967546817681
*C(=O)Nc1ccc(*)nc1C(=O)O,234.7192999537229,0.05690324799488439,13.356290534452349
*C(=O)Nc1ccc(Oc2ccc(NC(=O)OC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1C(=O)O,234.68829813110452,0.05682756618726129,13.336764795421052
